fila;clasificacion;score;zona_excel;marca_excel;rs2;rs1;cod_erp;desc_erp;zona_erp;marca_erp;marca_ok;total
174;FUERTE;96;MARGARITA;TOMMY HILFIGER;"JIHAN, C.A. (TIENDA CERRADA) (X CERRAR CTA)";"JIHAN, CA";98;"Jihan, C.A.2023";MARGARITA;TOMMY;NO;0
176;FUERTE;96;MARGARITA;THE CHILDREN´S PLACE;"SAMI, C.A.";"SAMI, C.A.";51;"Sami, C.A. 2023";MARGARITA;TCP;NO;1447422.08
178;FUERTE;96;MARGARITA;TOMMY HILFIGER;"TOMMY LA VELA 2022, C.A";"YOULIN, C.A. (CERRADA EN BANCO)";99;"Tommy la Vela 2022, C.A.2023";MARGARITA;TOMMY;NO;2997942.8
179;FUERTE;96;MARGARITA;ENGLISH HOME;"UNITED GROUP,C.A.";"UNITED GROUP,C.A.";113;"United Group, C.A.2023";MARGARITA;ENGLISH HOME;SI;533029.2
180;FUERTE;96;MARGARITA;TUMI;"BAG GROUP MGTA, C.A";;147;"BAG GROUP MGTA, C.A";MARGARITA;TUMI;SI;806424.48
182;FUERTE;96;MARGARITA;ISTIKBAL;"EH MGTA, C.A";;132;"Eh Mgta, c.a. 2023";MARGARITA;ISTIKBAL;SI;11933781.79
183;FUERTE;96;MARGARITA;SAMSONITE;"PORTAFOLIO GROUP MGTA, C.A";;142;"Portafolio Group MGTA, C.A.2023";MARGARITA;SAMSONITE;SI;405816.15
186;FUERTE;96;MARGARITA;LOLE;"SPORTGEAR MGTA, C.A";;140;"Sportgear Mgta, C.A. 2023";MARGARITA;LOLE;SI;1032494.44
187;FUERTE;96;MARGARITA;LUFIAN;"SPORTLUFI 2023, C.A";;135;"Sportlufi 2023, C.A";MARGARITA;LUFIAN;SI;5877940.64
188;FUERTE;96;MARGARITA;CALVIN KLEIN;"SPORT WEAR GROUP MGTA, C.A";;145;"Sport Wear Group Mgta, C.A.2023";MARGARITA;CALVIN KLEIN;SI;980497.27
189;FUERTE;96;MARGARITA;AMERICAN EAGLE;"SPORTS BRANDS MGTA, C.A";;137;"Sports Brands Mgta, C.A.";MARGARITA;AEO;NO;1827768.86
190;FUERTE;96;MARGARITA;COTTON ON;"SPORTS FOOT MGTA, C.A";;131;"Sports Foot Mgta, C.A.";MARGARITA;COTTON ON;SI;5690270.92
194;FUERTE;96;MARGARITA;ARDENE;"FUTWEAR GROUP MGTA, C.A.";;191;"Futwear Group Mgta, C.A.";MARGARITA;ARDENE;SI;1849274.99
196;FUERTE;96;MARGARITA;KARL LAGERFELD;"INVERSIONES KARLAG LA VELA II, C.A";;236;"INVERSIONES KARLAG LA VELA II, C.A.";MARGARITA;KARL LAGERFELD;SI;971954.81
201;FUERTE;96;MARGARITA;ADMINISTRATIVA;"ADMINISTRACION GD MARGARITA, C.A";"CANALI COLOR SIETE, C.A. (CERRADA EN BANCO)";155;"Administracion GD Margarita, C.A.";MARGARITA;DISTRIBUIDORAS;NO;25732857.91
204;FUERTE;96;MARGARITA;ADMINISTRATIVA;"THA MARGARITA, C.A.";"THA MARGARITA, C.A.";160;"THA MARGARITA, C.A. 2024";MARGARITA;DISTRIBUIDORAS;NO;559914.89
211;FUERTE;96;MARGARITA;FITLAB;"WORKOUT, C.A.";"WORKOUT, C.A.";85;"Workout, C.A.2023";MARGARITA;FITLAB;SI;2200148.68
161;FUERTE;97;CUMANA;ADIDAS;"ADI FO PLC, C.A";"ADICUMANA, C.A.";273;"Adidas Fo Plc, C.A";CUMANA;ADIDAS;SI;3255624.5
76;FUERTE;99;VALENCIA;ADIDAS;"INVERSIONES ADILAND VALENCIA, C.A.";;123;"Inversiones Adi SBL 2023, C.A.";VALENCIA;ADIDAS;SI;1105962.33
2;EXACTA;100;BARQUISIMETO;ADIDAS;"COMERCIAL ADIDAS BARQUISIMETO,C.A.";"ADI DASSLER, C.A. (CERRADA EN BANCO)";120;"Comercial Adiland Bqto, C.A.2023";BARQUISIMETO;SPORTLAND;NO;604306.05
4;EXACTA;100;BARQUISIMETO;CLARKS;"CLARKS BARQUISIMETO,C.A.";"CLARKS BARQUISIMETO,C.A.";69;"Clarks Barquisimeto, C.A. 2023";BARQUISIMETO;CLARKS;SI;183829.78
8;EXACTA;100;BARQUISIMETO;VICTORIA´S SECRET;"COMERCIAL VS BARQUISIMETO,C.A.";"VS BARQUISIMETO, C.A. (CERRADA EN BANCO)";110;"Comercial Vs Bqto, C.A.2023";BARQUISIMETO;VSBA Vsiom;NO;23961.39
9;EXACTA;100;BARQUISIMETO;SPORTLAND;"COMERCIAL ADILAND BARQUISIMETO, C.A.";;120;"Comercial Adiland Bqto, C.A.2023";BARQUISIMETO;SPORTLAND;SI;3232640.18
10;EXACTA;100;BARQUISIMETO;SPORTLAND;"COMERCIAL LARA SPORT 2023, C.A.";;144;"Comercial Lara Sport 2023, C.A.";BARQUISIMETO;SPORTLAND;SI;1797614.22
11;EXACTA;100;BARQUISIMETO;CLARKS;"CLK LAS TRINITARIAS BARQUISIMETO, C.A.";;119;"Clk Las  Trinitarias Bqto, C.A.2023";BARQUISIMETO;CLARKS;SI;422110.35
15;EXACTA;100;BARQUISIMETO;ADIDAS;"ADIDAS FO BQTO, C.A.";;274;"Adidas Fo Bqto, C.A";BARQUISIMETO;ADIDAS;SI;9661488.36
17;EXACTA;100;BARQUISIMETO;ADIDAS;"ADIKIDS BARQUISIMETO, C.A";"ADIKIDS BARQUISIMETO, C.A";305;"Adikids Barquisimeto, C.A.";BARQUISIMETO;ADIDAS;SI;2082296.49
18;EXACTA;100;BARQUISIMETO;VICTORIA´S SECRET;"COMERCIAL VSFA BARQUISIMETO, C.A";"COMERCIAL VSFA BARQUISIMETO, C.A";110;"Comercial Vs Bqto, C.A.2023";BARQUISIMETO;VSBA Vsiom;NO;15711295.41
19;EXACTA;100;BARQUISIMETO;ADIDAS;"ADIORIGINALS BARQUISIMETO, C.A";"ADIKIDS BARQUISIMETO, C.A";306;"Adioriginals Barquisimeto, C.A.";BARQUISIMETO;ADIDAS;SI;385163.17
20;EXACTA;100;BARQUISIMETO;BATH AND BODY WORKS;"COMERCIAL BBW BARQUISIMETO 2025, C.A.";;277;Comercial Bbw Valencia C.A;VALENCIA;BBW;NO;233323.68
23;EXACTA;100;PTO ORDAZ;BATH AND BODY WORKS;"COMERCIAL BRALETTE PZO, C.A";;278;"Comercial Bralette Pzo, C.A";PUERTO ORDAZ;BBW;NO;4334942.06
27;EXACTA;100;PTO ORDAZ;THE CHILDREN´S PLACE;"COMERCIAL CHILDREN´S PZO,C.A.";"JUSTICE PZO, C.A.(CERRADA EN BANCO)";368;"COMERCIAL CHILDREN'S PZO, С.А";;TCP;NO;1215622.24
28;EXACTA;100;PTO ORDAZ;CLARKS;"COMERCIAL NATURE PZO,C.A.";"ORIGINALS GROUP, C.A.(CERRADA EN BANCO)";365;"COMERCIAL NATURE PZO, C.A 2026";;CLARKS;SI;1947555.52
29;EXACTA;100;PTO ORDAZ;REEBOK;"COMERCIAL TRAINING PZO, C.A.";"THA, C.A.(CERRADA EN BANCO)";366;"COMERCIAL TRAINING PZO, C.A";;REEBOK;SI;1038383.56
38;EXACTA;100;MARACAIBO;ADIDAS;"ADIDAS MARACAIBO, C.A";"ADIPERFORMANCE, C.A. (CERRADA EN BANCO)";28;"Adidas Maracaibo, C.A. 2023";MARACAIBO;ADIDAS;SI;8484650.73
40;EXACTA;100;MARACAIBO;REEBOK;"REEBOK MARACAIBO, C.A.";"RBK MARACAIBO, C.A.(CERRADA EN BANCO)";44;"Reebok Maracaibo, C.A.2023";MARACAIBO;REEBOK;SI;168307.88
42;EXACTA;100;MARACAIBO;SPORTLAND;"SPORT BRANDS MARACAIBO 2023, C.A.";;168;"Sport Brands Maracaibo 2023, C.A.";MARACAIBO;SPORTLAND;SI;2218377.29
43;EXACTA;100;MARACAIBO;CLARKS;"CLK MARACAIBO, C.A.";;200;"Clk Maracaibo, C.A.";MARACAIBO;CLARKS;SI;2289727
44;EXACTA;100;MARACAIBO;SPORTLAND;"SPORTLAND SAN FRANCISCO, C.A";;271;Sportland San Francisco C.A;MARACAIBO;SPORTLAND;SI;4006474.81
47;EXACTA;100;MARACAIBO;BATH AND BODY WORKS;"BBW SBL MCBO, C.A";;208;"Bbw Sbl Ccs 2024, C.A.";CARACAS;BBW;NO;4115025.75
53;EXACTA;100;MARACAY;REEBOK;"SPORT RBK MARACAY, C.A.";"RBK MARACAY, C.A. (CERRADA EN BANCO)";45;"Sport Rbk Maracay, C.A.2023";MARACAY;REEBOK;SI;0
54;EXACTA;100;MARACAY;CLARKS;"SPORT CLK MARACAY, C.A.";"ORIGINAL´S MARACAY, C.A. (CERRADA EN BANCO)";67;"Sport Clk Maracay, C.A. 2023";MARACAY;CLARKS;SI;1018013.14
55;EXACTA;100;MARACAY;VICTORIA´S SECRET;"SPORTS VS  MARACAY, C.A.";"VS MARACAY, C.A. (CERRADA EN BANCO)";21;"Sport Vs Maracay, C.A. 2023";MARACAY;VSBA Vsiom;NO;1463718.39
58;EXACTA;100;MARACAY;SPORTLAND;"SPORTS THA MARACAY, C.A.";;121;"Sport Tha Maracay, C.A.";MARACAY;SPORTLAND;SI;1417494.77
61;EXACTA;100;MARACAY;SPORTLAND;"TOP SPORT MARACAY, C.A";;239;"Top Sport Maracay 2023, C.A.";MARACAY;SPORTLAND;SI;1301230.02
64;EXACTA;100;MARACAY;CLARKS;"CLK UNI MARACAY, C.A.";;269;Clk Uni Maracay C.A;MARACAY;CLARKS;SI;727200.17
65;EXACTA;100;MARACAY;BATH AND BODY WORKS;"SPORT BRANDS MARACAY 2023, C.A";;279;"Sport Brands Maracay 2023, C.A";MARACAY;BBW;NO;1333434.99
66;EXACTA;100;MARACAY;ADIDAS;"ADI FO MARACAY, C.A.";;240;"Adi Fo Ccs 2024,C.A.";CARACAS;ADIDAS;SI;5497327.85
69;EXACTA;100;VALENCIA;ADIDAS;"INV. ADI METROPOLIS, C.A";"INV. MUNICH, C.A. (CERRADA EN BANCO)";33;"Inv. Adi Metropolis, C.A. 2023";VALENCIA;ADIDAS;SI;1526326.45
71;EXACTA;100;VALENCIA;CLARKS;"INV. CLK VALENCIA, C.A";"OSS SHOES, C.A. (CERRADA EN BANCO)";68;"Inv. Clk Valencia, C.A. 2023";VALENCIA;CLARKS;SI;1258704.59
72;EXACTA;100;VALENCIA;REEBOK;"INV. RBK METROPOLIS, C.A";"RBK VALENCIA, C.A. (CERRADA EN BANCO)";33;"Inv. Adi Metropolis, C.A. 2023";VALENCIA;ADIDAS;NO;4150.73
77;EXACTA;100;VALENCIA;ADIDAS;"INVERSIONES CARABOBO 2023, C.A.";;173;"Inversiones Carabobo 2023, C.A.";VALENCIA;ADIDAS;SI;5072979.2
78;EXACTA;100;VALENCIA;SPORTLAND;"INVERSIONES AEO VALENCIA, C.A.";;199;"Inversiones Aeo Valencia, C.A.";VALENCIA;SPORTLAND;SI;3438979.82
82;EXACTA;100;VALENCIA;BATH AND BODY WORKS;"COMERCIAL BBW  VALENCIA,C.A";;277;Comercial Bbw Valencia C.A;VALENCIA;BBW;NO;3413307.46
86;EXACTA;100;SAN CRISTOBAL;ADIDAS;"ADIDAS SAN CRISTOBAL, C.A.";"INV. DOLE, C.A.(CERRADA EN BANCO)";28;"Adidas Maracaibo, C.A. 2023";MARACAIBO;ADIDAS;SI;1090922.93
87;EXACTA;100;SAN CRISTOBAL;CLARKS;"CLARKS SAN CRISTOBAL,C.A.";"CLARKS SAN CRISTOBAL,C.A.";69;"Clarks Barquisimeto, C.A. 2023";BARQUISIMETO;CLARKS;SI;863249.72
88;EXACTA;100;SAN CRISTOBAL;REEBOK;"RBK SAN CRISTOBAL, C.A.";"INV. SPORT GROUP, C.A.(CERRADA EN BANCO)";43;"RBK Cumana, C.A.2023";CUMANA;REEBOK;SI;10692.18
91;EXACTA;100;SAN CRISTOBAL;SPORTLAND;"SPORT BRANDS SAN CRISTOBAL 2023,C.A";;168;"Sport Brands Maracaibo 2023, C.A.";MARACAIBO;SPORTLAND;SI;1584021.72
95;EXACTA;100;PARAGUANA;ADIDAS;"ADI SBL PF, C.A";;264;"ADI SBL PF, C.A.";PUNTO FIJO;ADIDAS;SI;6363404.15
96;EXACTA;100;PARAGUANA;VICTORIA´S SECRET;"VS SBL PF, C.A";;263;"Vs Sbl PF, C.A.";PUNTO FIJO;VSBA Vsiom;NO;2058038.23
97;EXACTA;100;PARAGUANA;SPORTLAND;"SPORTLAND PF, C,A";;260;"Sportland PF, C.A";PUNTO FIJO;SPORTLAND;SI;8193055.71
98;EXACTA;100;PARAGUANA;CLARKS;"CLK SBL PF, C.A.";"CLK SBL PF, C.A.";303;"CLK SBL PF, C.A";PUNTO FIJO;CLARKS;SI;563599.68
101;EXACTA;100;CARACAS;CLARKS;"CLIK LIDER, C.A.";"ALWAYS CLASSIC, C.A.";90;"Clik Lider, C.A. 2023";CARACAS;CLARKS;SI;1894028.88
103;EXACTA;100;CARACAS;VICTORIA´S SECRET;"INT TOLON, C.A.";"ADIKIDS MERCEDES, C.A. (CERRADA EN BANCO)";111;"In Tolon, C.A. 2023";CARACAS;VSBA Vsiom;NO;626426
104;EXACTA;100;CARACAS;CLARKS;"CLK SBL, C.A.";"ENGLAND SHOES, C.A.(CERRADA EN BANCO)";65;"Clk Sbl, C.A. 2023";CARACAS;CLARKS;SI;1112710.07
105;EXACTA;100;CARACAS;REEBOK;"RBK SBL CCS, C.A.";"GRUPO BREMEN, C.A.(CERRADA EN BANCO)";41;"RBK Sbl Ccs , C.A.2023";CARACAS;REEBOK;SI;737341.73
108;EXACTA;100;CARACAS;ADIDAS;"ADI TOLON CCS, C.A.";"INV. HALIFAX, C.A.(CERRADA EN BANCO)";32;"Adi Tolon Ccs, C.A. 2023";CARACAS;ADIDAS;SI;778507.12
111;EXACTA;100;CARACAS;ADIDAS;"ADI LIDER CCS, C.A.";"SUPPER SPORT, C.A.";112;"Adi Lider Ccs, C.A. 2023";CARACAS;ADIDAS;SI;1750246.41
115;EXACTA;100;CARACAS;SPORTLAND;"MARUDI, C.A.";;122;"Marudi, C.A.2023";CARACAS;SPORTLAND;SI;897544.22
117;EXACTA;100;CARACAS;REEBOK;"COMERCIAL BAXTER 2022, C.A";;136;"Comercial Baxter 2022, C.A";CARACAS;REEBOK;SI;285487.91
118;EXACTA;100;CARACAS;SPORTLAND;"COMERCIAL MERCER 2022, C.A";;134;"Comercial Mercer 2022, C.A. 2023";CARACAS;SPORTLAND;SI;691282.32
119;EXACTA;100;CARACAS;ADIDAS;"COMERCIAL HEBRON 2022, C.A";;128;"Comercial Hebron 2022, C.A. 2023";CARACAS;ADIDAS;SI;454703.32
120;EXACTA;100;CARACAS;SPORTLAND;"COMERCIAL SALEM 2022, C.A";;138;"Comercial Selmer 2022, C.A. 2023";CARACAS;SPORTLAND;SI;1054464.03
121;EXACTA;100;CARACAS;CLARKS;"COMERCIAL SPARTA 2022, C.A";;89;"Comercial Sparta, C.A. 2023";CARACAS;CLARKS;SI;729836.93
122;EXACTA;100;CARACAS;CLARKS;"COMERCIAL DURAN 2022, C.A";;129;"Comercial Duran 2022, C.A. 2023";CARACAS;CLARKS;SI;842053.87
123;EXACTA;100;CARACAS;SPORTLAND;"COMERCIAL SELMER 2022, C.A";;134;"Comercial Mercer 2022, C.A. 2023";CARACAS;SPORTLAND;SI;805487.34
126;EXACTA;100;CARACAS;ADIDAS;"COMERCIAL HAZEN 2022, C.A.";;139;"Comercial Salem 2022, C.A.2023";CARACAS;SPORTLAND;NO;1195627.48
127;EXACTA;100;CARACAS;SPORTLAND;"SPORTLAND LA CASTELLANA, C.A.";;170;"Sportland la Castellana 2024, C.A";CARACAS;SPORTLAND;SI;637998.4
128;EXACTA;100;CARACAS;ADIDAS;"LEBRON PERFONMANCE SBL CCS, C.A.";;174;"Lebron Performance SBL CCS, C.A.";CARACAS;ADIDAS;SI;1316926.1
130;EXACTA;100;CARACAS;SPORTLAND;"EH SBL CCS 2024, C.A.";;176;"Eh Sbl Ccs 2024, C.A.";CARACAS;SPORTLAND;SI;637668.52
132;EXACTA;100;CARACAS;SPORTLAND;"SPORTLAND CANDELARIA, C.A";;196;"Sportland Candelaria, C.A";CARACAS;SPORTLAND;SI;1294852.71
134;EXACTA;100;CARACAS;SPORTLAND;"SPORTLAND SBL CCS, C.A.";;175;"Sportland Sbl Ccs, C.A.2024";CARACAS;SPORTLAND;SI;699825.38
140;EXACTA;100;CARACAS;BATH AND BODY WORKS;"BBW SBL CCS 2024, C.A";;208;"Bbw Sbl Ccs 2024, C.A.";CARACAS;BBW;NO;985586.79
142;EXACTA;100;CARACAS;LA MARTINA;"COMERCIAL LM CCS 2024, C.A";;333;Comercial Lm Ccs;CARACAS;LA MARTINA;SI;0
144;EXACTA;100;CARACAS;ADIDAS;"ADI FO CCS 2024, C.A";;240;"Adi Fo Ccs 2024,C.A.";CARACAS;ADIDAS;SI;2422627.25
145;EXACTA;100;CARACAS;SPORTLAND;"MIL SPORT CCS, C.A";;234;"Mil Sport Ccs, C.A.";CARACAS;SPORTLAND;SI;112885.36
151;EXACTA;100;CARACAS;ADIDAS;"ADI FO BOLEITA, C.A.";;240;"Adi Fo Ccs 2024,C.A.";CARACAS;ADIDAS;SI;1404718.53
152;EXACTA;100;CARACAS;SPORTLAND;"SPORTLAND LA CASCADA, C.A";;270;"Sportland La Cascada, C.A";CARACAS;SPORTLAND;SI;759356.32
153;EXACTA;100;CARACAS;ADIDAS;"ADI ORIGINALS CCS, C.A";;275;Adi Originals Ccs C.A;CARACAS;ADIDAS;SI;1084837.81
154;EXACTA;100;CARACAS;BATH AND BODY WORKS;"BBW SBL CANDELARIA, C.A";;208;"Bbw Sbl Ccs 2024, C.A.";CARACAS;BBW;NO;882980.25
155;EXACTA;100;CARACAS;ADIDAS;"ADIDAS CV CCS, C.A";;294;Adidas CV Ccs C.A;CARACAS;ADIDAS;SI;1601317.64
156;EXACTA;100;CARACAS;BATH AND BODY WORKS;"BBW CV CCS, C.A.";"BBW CV CCS, C.A.";301;"BBW CV CCS, C.A";CARACAS;BBW;NO;495650.13
159;EXACTA;100;CUMANA;ADIDAS;"INVERSIONES SUPER STAR 2023, C.A.";"ADICUMANA, C.A.";124;"Inversiones Super Star, C.A. 2023";CUMANA;ADIDAS;SI;1814334.21
160;EXACTA;100;CUMANA;REEBOK;"INVERSIONES BRONCE 2023, C.A.";"RBK CUMANA, C.A.";125;"Inversiones Bronce 2023, C.A. 2023";CUMANA;REEBOK;SI;10287.93
166;EXACTA;100;MARGARITA;BATH AND BODY WORKS;"BBW MARGARITA, C.A.";"BBW MARGARITA, C.A.";115;"Bbw Margarita, C.A 2023";MARGARITA;BBW;NO;2716468.02
167;EXACTA;100;MARGARITA;CLARKS;"BIG BANG, C.A.";"BIG BANG, C.A.";63;"Big-Bang, C.A. 2023";MARGARITA;CLARKS;SI;1163026.3
168;EXACTA;100;MARGARITA;CLARKS;"BISCAY, C.A.";"BISCAY, C.A.";64;"Biscay, C.A. 2023";MARGARITA;CLARKS;SI;2195875.06
169;EXACTA;100;MARGARITA;MULTI MARCAS;"FONTANA CENTER,C.A";"FONTANA CENTER,C.A";108;"Fontana Center, C.A 2023";MARGARITA;MULTIMARCAS;NO;1269655.03
172;EXACTA;100;MARGARITA;REEBOK;"IN SPORT, C.A.";"IN SPORT, C.A.";42;"In Sport, C.A.";MARGARITA;REEBOK;SI;266002.22
175;EXACTA;100;MARGARITA;MULTI MARCAS;"NAUTICA SHOP, C.A.";"NAUTICA SHOP, C.A.";109;"Nautica Shop, C.A. 2023";MARGARITA;MULTIMARCAS;NO;1067319.15
177;EXACTA;100;MARGARITA;VICTORIA´S SECRET;"SPORT LINE, C.A.";"SPORT LINE, C.A.";165;"Sport  Line, C.A.2024";MARGARITA;VSBA Vsiom;NO;2873595.94
181;EXACTA;100;MARGARITA;BATH AND BODY WORKS;"BBW GROUP MGTA, C.A";;146;"BBW Group Mgta, C.A. 2023";MARGARITA;BBW;NO;3844094.82
184;EXACTA;100;MARGARITA;REEBOK;"RBK GROUP MGTA, C.A";;141;"RBK Group  Mgta, C.A.2023";MARGARITA;REEBOK;SI;989852.1
185;EXACTA;100;MARGARITA;ADIDAS;"SNK GROUP MGTA, C.A";;167;"Snk GroupP MGTA, C.A. 2024";MARGARITA;ADIDAS;SI;1919743.27
193;EXACTA;100;MARGARITA;ADIDAS;"ADI LA VELA 2024, C.A.";;171;"Adi la Vela 2024, C.A. 2024";MARGARITA;ADIDAS;SI;2266598.68
195;EXACTA;100;MARGARITA;SPORTLAND;"SPORTLAND LA VELA CAP, C.A (TIENDA CERRADA)";;195;"Sportland la Vela Cap, C.A";MARGARITA;SPORTLAND;SI;21.8
197;EXACTA;100;MARGARITA;SPORTLAND;"SPORTLAND MGTA, C.A.";"SPORTLAND MGTA, C.A.";300;Sportland Mgta C.A;MARGARITA;SPORTLAND;SI;3919832.35
198;EXACTA;100;MARGARITA;ADIDAS;"ADI KIDS MGTA LA VELA II, C.A.";"ADI KIDS MGTA LA VELA II, C.A.";302;"ADI KIDS MGTA LA VELA II, C.A";MARGARITA;ADIDAS;SI;1597300.49
199;EXACTA;100;MARGARITA;LA MARTINA;"INVERSIONES POLO SPORTS 2024, C.A";;214;"Inversiones Polo Sports 2024, C.A";MARGARITA;LA MARTINA;SI;1484681.5
200;EXACTA;100;MARGARITA;ADIDAS;"ADIDAS FO SANTIAGO MARIÑO, C.A.";;291;"Adidas FO Santiago Mariño, C.A.";MARGARITA;ADIDAS;SI;4249224.22
220;EXACTA;100;;;"TOP GROUP, C.A.";"SPORT MASTER, C.A.";24;"Top Group, C.A.";;TOP GROUP;NO;
226;EXACTA;100;;;"INVERSIONES TH VALENCIA 2025, C.A";;88;"Inversiones Th Valencia, C.A.2023";VALENCIA;FITLAB;NO;